"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Here For You - Roni Size Remix","Gorgon City, Laura Welsh, Roni Size","211385","8138","563","115","2014-01-01"
"Go All Night - Illyus & Barrientos Remix","Gorgon City, Jennifer Hudson, Illyus & Barrientos","198298","4117","401","104","2014-12-15"
"Baggage (with AlunaGeorge) - J. Worra Remix","Gryffin, Gorgon City, AlunaGeorge, J. Worra","116410","6045","414","104","2019-10-22"
"One Last Song - Eli Brown Remix","Gorgon City, JP Cooper, Eli Brown","91185","5157","391","101","2018-08-31"
"So Hooked On Your Lovin - Gorgon City Extended Remix (Mixed)","Selace, Gorgon City","76772","7900","563","93","2020-12-18"
"Burning - Terrace Vocal Edit","Gorgon City, Evan Giia","54913","7916","387","90","2020-10-30"
"Blackbird - Dub Mix","Joeski, Gorgon City","715821","5152","301","83","2017-04-24"
"Go All Night - Aquilo Remix","Gorgon City, Jennifer Hudson, Aquilo","525443","8109","384","80","2014-12-15"
"One Last Song - Hadley Remix","Gorgon City, JP Cooper","253974","3647","339","76","2018-10-04"
"Baggage (with AlunaGeorge) - BOT Remix","Gryffin, Gorgon City, AlunaGeorge, BOT","108778","5544","376","68","2019-10-22"
"All Four Walls - Vaults Remix","Gorgon City, Vaults","66505","4318","254","65","2016-04-29"
"Here For You - Bronze Whale Remix","Gorgon City, Laura Welsh, Bronze Whale","141212","4358","236","60","2014-01-01"
"Baggage (with AlunaGeorge) - Ossie Remix","Gryffin, Gorgon City, AlunaGeorge, Ossie","94831","4354","291","57","2019-10-22"
"Remember (feat. Stevie Appleton) - Mar-T & Luca Donzelli Remix","Sonny Fodera, Gorgon City, Danny Howard, Stevie Appleton, Mar-T, Luca Donzelli","19668","3742","181","56","2022-11-25"
"Start Over - Dub","Damian Lazarus, Gorgon City, Leia Contois","22255","5069","247","48","2022-04-15"
"Smile - Star.One Remix","Gorgon City, Elderbrook, Star.One","160939","3134","167","47","2016-11-04"
