"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Reminiscing - Extended Mix","Nora En Pure","160335","33367","1967","447","2022-01-28"
"Stop Wasting Time - Extended Mix","Nora En Pure","107745","40679","1881","433","2022-09-23"
"Cotton Fields - Radio Mix","Nora En Pure, Sons Of Maria","1649426","34694","1827","431","2015-07-27"
"Tantrum - Extended Mix","Nora En Pure","139869","24517","1708","398","2021-10-01"
"Luscious Rain - Extended Mix","Nora En Pure","143946","26409","1509","378","2021-11-12"
"One Thing - Nora En Pure Remix","Me & My Toothbrush, Nora En Pure","319250","20613","1358","372","2015-01-01"
"Us - Extended Mix","Nora En Pure","107685","24912","1380","360","2022-04-22"
"Come With Me - Vanilla Ace Remix","Nora En Pure, Vanilla Ace","153573","8858","1436","356","2014-01-01"
"In the Air Tonight - Sons of Maria Extended Remix","Nora En Pure, Lika Morgan, Sons Of Maria","156274","17571","1222","353","2020-04-24"
"Setting Sun - Nora En Pure Remix","Dirty Vegas, Nora En Pure","489608","15535","1238","349","2014-05-20"
"Uruguay - Passenger 10 Remix","Nora En Pure, Sons Of Maria, Passenger 10","216307","20676","1388","342","2015-01-01"
"Trailblazer - Martin Waslewski Remix Edit","Nora En Pure, Martin Waslewski","625789","20420","1554","323","2018-08-17"
"Tantrum - Dark Temper Mix","Nora En Pure","109367","21256","1323","322","2021-10-01"
"Come With Me - Dbmm Radio Edit","Nora En Pure, DBMM","287027","11999","1084","317","2014-01-01"
"Uruguay - Original Mix","Nora En Pure, Sons Of Maria","448300","16727","1260","311","2014-09-08"
"U Got My Body - Return of the Jaded Remix","Nora En Pure, Return of the Jaded","312565","21078","1173","305","2016-02-04"
"Come With Me - Dbmm Remix","Nora En Pure, DBMM","216184","10356","1230","303","2014-01-01"
"Music Is Moving - Nora En Pure Remix Edit","Milk & Sugar, Nora En Pure","690974","19310","1082","288","2017-03-31"
"World of Rules - Extended Mix","Nora En Pure","184746","18226","1088","288","2021-01-29"
"Birthright - Dosem Remix Edit","Nora En Pure, Dosem","528673","19708","1119","287","2019-09-06"
"True - Lexer Remix","Nora En Pure, Lexer","729943","20437","1088","285","2014-01-01"
"Vinternatt - Nora en Pure & Sons of Maria Remix","Danijel Kostic, Nora En Pure, Sons Of Maria","79151","10984","1002","270","2018-04-27"
"In Your Eyes - Club Mix","Nora En Pure","162116","16124","1124","268","2020-08-28"
"Uruguay - Dbmm Remix","Nora En Pure, Sons Of Maria, DBMM","308833","14737","965","248","2015-01-01"
"Delta - Extended Mix","Nora En Pure","161308","18678","1144","247","2020-07-17"
"Sweet Melody - Teenage Mutants Remix","Nora En Pure, Teenage Mutants","210446","13898","1022","245","2014-01-01"
"U Got My Body - Return of the Jaded Radio Mix","Nora En Pure, Return of the Jaded","758419","16376","947","242","2016-02-04"
"Won't Leave Your Side - Extended Mix","Nora En Pure, Liz Cass","126855","15451","925","240","2021-07-23"
"Diving with Whales - Daniel Portman Extended Remix","Nora En Pure, Daniel Portman","331896","13843","902","233","2017-01-13"
"Come With Me - Vanilla Ace Radio Edit","Nora En Pure, Vanilla Ace","96496","6434","798","219","2014-01-01"
"I Got To Do - Me & My Toothbrush Radio Mix","Nora En Pure, Redondo, Me & My Toothbrush","492247","12672","794","207","2015-01-01"
"We Found Love - Ashibah Afro Remix Edit","Nora En Pure, Ashibah","139221","9655","838","187","2019-02-22"
"Birthright - Danijel Kostic Remix Edit","Nora En Pure, Danijel Kostic","134925","10936","1073","172","2019-09-06"
"You Were Right - Nora En Pure Radio Edit","Rüfüs DU SOL, Nora En Pure","424218","10530","658","167","2017-03-31"
"See The End - Nora En Pure Extended Mix","Above & Beyond, Seven Lions, Opposite the Other, Nora En Pure","109048","12276","642","162","2019-11-07"
"Uruguay - Radio Edit","Nora En Pure, Sons Of Maria","246628","11913","834","158","2014-09-08"
"Trailblazer - Deezdlux Remix","Nora En Pure, DEEZDLUX","133840","7038","686","153","2018-08-17"
"Birthright - Marius Drescher Remix Edit","Nora En Pure, Marius Drescher","129657","11694","747","136","2019-09-06"
"You Make Me Float - Dinka Radio Mix","Nora En Pure, Dynka","125071","9640","563","135","2020-11-26"
"Polynesia - Daniel Portman Remix Edit","Nora En Pure, Daniel Portman","166531","10638","548","129","2019-08-09"
"I Got to Do - Extended Mix","Nora En Pure, Redondo","404008","9178","483","118","2016-03-02"
"Monsters off My Back - Nora En Pure Club Retreat","Passenger 10, Nora En Pure","259429","8682","478","113","2016-10-10"
"See The End - Nora En Pure Club Mix","Above & Beyond, Seven Lions, Opposite the Other, Nora En Pure","111789","7924","457","113","2019-11-07"
"6 Words - Nora En Pure Remix","Wretch 32, Nora En Pure","1558877","30354","419","103","2014-11-14"
"Come with Me - Passenger 10 Remix","Nora En Pure, Passenger 10","72370","5799","423","101","2019-08-23"
"One Night Lover - Nora En Pure Instrumental Club Mix","Paul Harris, Nora En Pure","74466","7716","456","97","2015-01-01"
"One Night Lover - Nora En Pure Remix","Paul Harris, Dragonette, Nora En Pure","74466","7716","456","97","2015-01-01"
"Uruguay - Dbmm Radio Mix","Nora En Pure, Sons Of Maria, DBMM","141751","5507","387","97","2015-01-01"
"Trailblazer - Martin Waslewski Remix","Nora En Pure, Martin Waslewski","119996","5044","331","96","2018-08-31"
"In the Air Tonight - Leventina Remix Edit","Nora En Pure, Lika Morgan, Leventina","67808","6729","367","95","2020-05-22"
"In The Air Tonight - Leventina Remix","Nora En Pure, Lika Morgan, Leventina","67808","6729","465","95","2020-05-22"
"Trailblazer - Local Dialect Remix Edit","Nora En Pure, Local Dialect","104909","4633","405","90","2018-08-17"
"Cotton Fields - Original Mix","Nora En Pure, Sons Of Maria","247983","6917","378","82","2015-07-27"
"Trailblazer - Local Dialect Remix","Nora En Pure, Local Dialect","60493","3675","266","77","2018-08-31"
"Birthright - Danijel Kostic Remix","Nora En Pure, Danijel Kostic","60845","4181","273","73","2019-09-20"
"Polynesia - Daniel Portman Remix","Nora En Pure, Daniel Portman","71358","5141","328","66","2019-08-23"
"Birthright - Marius Drescher Remix","Nora En Pure, Marius Drescher","55652","4067","244","62","2019-09-20"
"Street Names - Nora En Pure Remix","Passenger 10, Nora En Pure","75010","3342","252","60","2013-04-15"
"Tell My Heart - Extended Mix","Nora En Pure, Dani Senior","97292","2773","191","56","2016-10-21"
"U Got My Body - Cedric Zeyenne Club Mix","Nora En Pure, Cedric Zeyenne","86431","3571","203","55","2016-02-04"
"U Got My Body - Cedric Zeyenne Vocal Mix","Nora En Pure, Cedric Zeyenne","86431","3571","203","55","2016-02-04"
"U Got My Body - In.Deed Remix","Nora En Pure, in.deed","59840","2548","143","43","2016-02-04"
"U Got My Body - In.Deed Radio Mix","Nora En Pure, in.deed","208734","3576","161","40","2016-02-04"
"We Found Love - Extended Mix","Nora En Pure, Ashibah","28965","2726","159","38","2019-02-01"
"Hear Me Now (feat. Zeeba) - EDX & Nora En Pure Remix","Alok, Bruno Martini, Zeeba, EDX, Nora En Pure","81286","2554","165","32","2017-03-03"
"Come With Me - Hailing Jordan Remix","Nora En Pure, Hailing Jordan","108763","1736","148","29","2014-01-01"
"Back & Forth - Nora En Pure Radio Mix","The Aston Shuffle, Elizabeth Rose, Nora En Pure","12735","1332","94","28","2014-09-09"
"We Found Love - Extended Instrumental Mix","Nora En Pure, Ashibah","6983","515","37","17","2019-02-01"
"We Found Love - Nora en Pure & Passenger 10 Dub Remix","Nora En Pure, Ashibah, Passenger 10","17105","997","51","17","2019-02-22"
"We Found Love - Nora en Pure & Passenger 10 Remix","Nora En Pure, Ashibah, Passenger 10","17105","997","51","17","2019-02-22"
"We Found Love - Ashibah Afro Remix","Nora En Pure, Ashibah","6210","461","28","14","2019-02-22"
"See The End (ABGT355) - Nora En Pure Club Mix","Above & Beyond, Seven Lions, Opposite the Other, Nora En Pure","50847","897","72","14","2019-11-17"
"See The End (Record Of The Week) [ABGT354] - Nora En Pure Club Mix","Above & Beyond, Seven Lions, Opposite the Other, Nora En Pure","43438","653","51","12","2019-11-10"
"See The End (Push The Button) [ABGT356] - Nora En Pure Club Mix","Above & Beyond, Seven Lions, Opposite the Other, Nora En Pure","26851","423","31","8","2019-11-24"
"See the End (WYM293) - Nora En Pure Extended Mix","Above & Beyond, Seven Lions, Opposite the Other, Nora En Pure","3777","207","15","5","2019-11-18"
"See The End (ASOT 940) - Nora En Pure Club Mix","Above & Beyond, Seven Lions, Opposite the Other, Nora En Pure","62122","456","24","4","2019-10-24"
"Setting Sun (WYM133) - Nora En Pure Remix","Dirty Vegas, Nora En Pure","1561","21","2","1","2016-10-24"
"Firebird","Nora En Pure, DubVision","8932","78","0","0","2023-08-25"
